,Occupation/Industry,2014_Total $,2014_Union $,2014_Non Union $,2015_Total $,2015_Union $,2015_Non Union $
0,Total full-time wage and salary workers,791,970,763,809,980,776
1,"Management, professional, and related occupations",1137,1132,1139,1158,1152,1160
2,"Management, business, and financial operations occupations",1227,1246,1226,1258,1273,1257
3,Management occupations,1295,1333,1292,1351,1386,1349
4,Business and financial operations occupations,1107,1135,1104,1137,1108,1138
5,Professional and related occupations,1078,1117,1068,1112,1140,1103
6,Computer and mathematical occupations,1368,1288,1373,1428,1388,1434
7,Architecture and engineering occupations,1377,1416,1370,1424,1393,1427
8,"Life, physical, and social science occupations",1168,1271,1141,1206,1249,1187
9,Community and social service occupations,858,1017,822,889,1014,855
10,Legal occupations,1271,1208,1270,1391,1551,1373
11,"Education, training, and library occupations",953,1077,851,956,1095,860
12,"Arts, design, entertainment, sports, and media occupations",956,1130,946,1001,1228,984
13,Healthcare practitioner and technical occupations,1033,1128,1020,1041,1211,1014
14,Service occupations,505,762,482,509,753,489
15,Healthcare support occupations,498,569,493,498,544,495
16,Protective service occupations,833,1107,687,796,1031,687
17,Food preparation and serving related occupations,439,535,433,441,515,436
18,Building and grounds cleaning and maintenance occupations,480,644,456,486,648,469
19,Personal care and service occupations,487,591,480,498,515,496
20,Sales and office occupations,666,788,654,673,810,662
21,Sales and related occupations,705,728,704,716,702,716
22,Office and administrative support occupations,651,801,632,656,831,639
23,"Natural resources, construction, and maintenance occupations",756,1076,705,761,1070,711
24,"Farming, fishing, and forestry occupations",429,-,423,464,-,460
25,Construction and extraction occupations,756,1095,697,749,1082,695
26,"Installation, maintenance, and repair occupations",821,1064,782,839,1066,799
27,"Production, transportation, and material moving occupations",642,838,614,656,850,622
28,Production occupations,646,825,620,663,824,635
29,Transportation and material moving occupations,637,850,608,646,876,610
30,,,,,,,
31,INDUSTRY,,,,,,
32,Private sector,763,907,753,776,917,765
33,Agriculture and related industries,502,-,501,522,-,519
34,Nonagricultural industries,767,907,756,781,918,769
35,"Mining, quarrying, and oil and gas extraction",1136,1150,1130,1162,-,1162
36,Construction,775,1123,724,784,1099,743
37,Manufacturing,812,861,807,839,876,833
38,Durable goods,840,888,833,872,889,871
39,Nondurable goods,765,808,761,776,849,768
40,Wholesale and retail trade,641,669,638,653,673,652
41,Wholesale trade,818,772,821,841,876,840
42,Retail trade,602,641,600,610,621,609
43,Transportation and utilities,826,1011,785,843,1007,803
44,Transportation and warehousing,780,947,748,790,980,754
45,Utilities,1156,1275,1078,1133,1194,1116
46,Information(4),1040,1115,1029,1102,1260,1077
47,"Publishing, except Internet",1068,-,1081,1098,-,1102
48,Motion pictures and sound recording industries,1021,-,993,996,-,935
49,Radio and television broadcasting and cable subscription programming,902,-,879,980,-,968
50,Telecommunications,1145,1143,1151,1162,1212,1148
51,Financial activities,941,879,942,964,915,964
52,Finance and insurance,989,880,991,1024,983,1024
53,Finance,1012,862,1014,1061,923,1060
54,Insurance,959,-,960,973,988,973
55,Real estate and rental and leasing,768,876,762,782,891,772
56,Professional and business services,915,805,918,951,874,953
57,Professional and technical services,1199,1081,1203,1256,1297,1255
58,"Management, administrative, and waste services",580,743,575,605,684,603
59,Education and health services,777,926,763,787,962,768
60,Educational services,902,967,879,918,1025,896
61,Health care and social assistance,750,893,740,754,916,742
62,Leisure and hospitality,505,636,500,515,606,511
63,"Arts, entertainment, and recreation",650,688,642,657,672,655
64,Accommodation and food services,481,602,478,492,579,489
65,Accommodation,544,639,522,546,645,532
66,Food services and drinking places,465,496,465,480,492,480
67,Other services(4),644,871,636,684,903,677
68,"Other services, except private households",671,887,662,710,916,703
69,Public sector,927,1014,850,944,1029,878
70,Federal government,1103,1050,1136,1113,1058,1159
71,State government,886,967,821,909,988,867
72,Local government,899,1026,780,914,1043,783
